,job_title,result_code,clean_title
0,SESpecialist,404,sespecialist
1,photeditor,404,photeditor
2,Production Arist,404,production arist
3,photArist,404,photarist
4,User Interface (UI) Developer,404,user interface  developer
5,data sciene,404,data sciene
6,Demand Generation Marketing Lead,404,demand generation marketings lead
7,Research Assistant at University,404,research assistant at university
8,Economics (quantitative),404,economics 
9,Behavioral Economics,404,behavioral economics
10,Psychometrician (measuring mental capacities),404,psychometrician 
11,Other Majors tlook for:,404,other majors tlook for
12,Quantitative Psychology,404,quantitative psychology
13,Astronomists,404,astronomists
14,html engineer,404,html engineer
15,html5 engineer,404,html5 engineer
16,html5 programmer,404,html5 programmer
17,js programmer,404,js programmer
18,ajax engineer,404,ajax engineer
19,ajax programmer,404,ajax programmer
20,jquery engineer,404,jquery engineer
21,jquery programmer,404,jquery programmer
22,css engineer,404,css engineer
23,css programmer,404,css programmer
24,Tier 1 2 3 Support,404,tier 1 2 3 support
25,Territory Sales Account,404,territory sales account
26,Clinical Research Operations,404,clinical research operations
27,quality diector,404,quality diector
28,FW,404,fw
29,Procurement Manager or Procurement Lead,404,procurement manager or procurement lead
30,Cloud Storage Performance Architect,404,cloud storage performance architect
31,Senior Manager B2B Content Marketing,404,senior manager businesstobusiness content marketings
32,Senior Manager B2B Marketing,404,senior manager businesstobusiness marketings
33,ios app,404,ios application
34,QC OR quality,404,qc or quality
35,CAPA SME,404,capa small and mediumsized enterprises
36,Clinical Data,404,clinical data
37,Clinical Research Monitoring Associate,404,clinical research monitoring associate
38,In-House Clinical Operations Associate,404,in
39,QA Change Control,404,quality assurance change control
40,Art Dr,404,art dr
41,Front-end OR Web,404,front
42,PCI QSA Consultant,404,pi qsa consultant
43,presale OR presales OR,404,presale or presales or
44,SQE OR quality OR project OR software,404,sqe or quality or project or software
45,AND level: engineer tmanager,404,and level engineer tmanager
46,Global Trial Management-CTA,404,global trial management
47,Clinical Documentation Coordinator,404,clinical documentation coordinator
48,Clinical Project Associate/TMF Specialist,404,clinical project associate
49,Clinical Study Associate (Contractor),404,clinical study associate 
50,Clinical Contract Coordinator,404,clinical contract coordinator
51,Trial Document Specialist,404,trial document specialist
52,clincal trial,404,clincal trial
53,Regional Sr. CRA,404,regional senior cra
54,Medical license,404,medical license
55,Site Initiation,404,site initiation
56,Agreements,404,agreements
57,APAC lead,404,apace lead
58,Lead AND (QA OR Quality),404,lead and 
59,RA level: manager or above,404,ra level manager or above
60,Quality engineer OR QA OR QE,404,quality engineer or quality assurance or qe
61,level: engineer tmanager,404,level engineer tmanager
62,Safety Review,404,safety review
63,Safety Surveillance,404,safety surveillance
64,L&D,404,ld
65,QA level director or above,404,quality assurance level director or above
66,VP Human,404,vp human
67,tech writing,404,tech writing
68,clinica research associate,404,clinica research associate
69,Clinical Trial Ops Manager.,404,clinical trial ops manager
70,Clinical study Manager.,404,clinical study manager
71,Digital Web Analyst,404,digital web analyst
72,Revenue Director OR Revenue Accounting Director OR Revenue Recognition Director,404,revenue director or revenue accounting director or revenue recognition director
73,progarmmner,404,progarmmner
74,Facilties Validation SME,404,facilties validation small and mediumsized enterprises
75,Equipment Validation SME,404,equipment validation small and mediumsized enterprises
76,Facilties SME,404,facilties small and mediumsized enterprises
77,Equipment SME,404,equipment small and mediumsized enterprises
78,Content Measurement Strategist,404,content measurement strategist
79,Jee Engineer,404,jee engineer
