,job_title,result_code,clean_title,result_detail,method,word
0,SESpecialist,404,sespecialist,"{'errorMessage': 'NotFoundError: Sorry we could not find any information for title: sespecialist', 'stackTrace': [['/var/task/function.py', 80, 'lambda_handler', ""raise Exception('NotFoundError: Sorry we could not find any information for title: ' + title or '')""]], 'errorType': 'Exception'}",,
1,photeditor,404,photeditor,"{'errorMessage': 'NotFoundError: Sorry we could not find any information for title: photeditor', 'stackTrace': [['/var/task/function.py', 80, 'lambda_handler', ""raise Exception('NotFoundError: Sorry we could not find any information for title: ' + title or '')""]], 'errorType': 'Exception'}",,
2,Production Arist,200,production Artist,"{'averageTime': 28, 'education': [{'score': 2.4691358, 'name': 'communication and media studies'}, {'score': 3.7037036, 'name': 'illustration'}, {'score': 4.9382715, 'name': 'communications'}, {'score': 5.5555553, 'name': 'visual communication arts emphasis'}, {'score': 28.395061, 'name': 'graphic design'}], 'previousJobs': [{'score': 1.6891892, 'name': 'designer'}, {'score': 2.3648648, 'name': 'freelance graphic designer'}, {'score': 2.7027028, 'name': 'art director'}, {'score': 14.527027, 'name': 'graphic designer'}, {'score': 2.0270271, 'name': 'graphic artist'}], 'stemmedJob': 'product artist', 'skills': [{'score': 11.102282, 'name': 'photoshop'}, {'score': 8.77177, 'name': 'logo design'}, {'score': 6.3188596, 'name': 'advertising'}, {'score': 10.436496, 'name': 'adobe creative suite'}, {'score': 7.4243183, 'name': 'graphics'}, {'score': 9.425284, 'name': 'layout'}, {'score': 7.4584002, 'name': 'typography'}, {'score': 12.446513, 'name': 'graphic design'}, {'score': 16.94077, 'name': 'illustrator'}, {'score': 9.675307, 'name': 'indesign'}], 'futureJobs': [{'score': 1.8918918, 'name': 'designer'}, {'score': 2.162162, 'name': 'art director'}, {'score': 11.621622, 'name': 'graphic designer'}, {'score': 2.162162, 'name': 'senior production artist'}, {'score': 1.3513514, 'name': 'freelance production artist'}], 'jobTitle': 'production Artist'}",,
3,photArist,404,photarist,"{'errorMessage': 'NotFoundError: Sorry we could not find any information for title: photarist', 'stackTrace': [['/var/task/function.py', 80, 'lambda_handler', ""raise Exception('NotFoundError: Sorry we could not find any information for title: ' + title or '')""]], 'errorType': 'Exception'}",,
4,User Interface (UI) Developer,200,user interface  developer,"{'averageTime': 15, 'education': [{'score': 6.4935064, 'name': 'msc information technology'}, {'score': 2.5974026, 'name': 'computer science and engineering'}, {'score': 14.285714, 'name': 'computer science'}, {'score': 6.4935064, 'name': 'ba (hons) finance'}, {'score': 6.4935064, 'name': 'msc banking and finance'}], 'previousJobs': [{'score': 3.5294118, 'name': 'software engineer'}, {'score': 7.0588236, 'name': 'developer'}, {'score': 9.411765, 'name': 'web developer'}, {'score': 2.3529413, 'name': 'user interface consultant'}, {'score': 2.3529413, 'name': 'network systems administration, st helen’s & knowsley pct'}], 'stemmedJob': 'user interfac develop', 'skills': [{'score': 9.247019, 'name': 'user interface design'}, {'score': 7.697536, 'name': 'web development'}, {'score': 9.047056, 'name': 'user experience'}, {'score': 12.906322, 'name': 'css'}, {'score': 8.084934, 'name': 'html5'}, {'score': 9.333839, 'name': 'html 5'}, {'score': 12.09329, 'name': 'jquery'}, {'score': 9.671056, 'name': 'user interface'}, {'score': 12.474294, 'name': 'javascript'}, {'score': 9.444654, 'name': 'html'}], 'futureJobs': [{'score': 2.5, 'name': 'senior designer'}, {'score': 2.5, 'name': 'user interface consultant'}, {'score': 5.0, 'name': 'front end developer'}, {'score': 2.5, 'name': 'senior user experience manager'}, {'score': 5.0, 'name': 'web developer'}], 'jobTitle': 'user interface  developer'}",,
5,data sciene,200,data sciene,"{'averageTime': 66, 'education': [{'score': 7.6923075, 'name': 'mathematics and computer science'}, {'score': 7.6923075, 'name': 'business information technology'}, {'score': 7.6923075, 'name': 'hospitality administration/management, focus on hospitality marketing and hotel revenue manag'}, {'score': 7.6923075, 'name': 'accounting and finance'}, {'score': 7.6923075, 'name': 'computer software engineering'}], 'previousJobs': [{'score': 4.5454545, 'name': 'campus intern'}, {'score': 4.5454545, 'name': 'data analyst'}, {'score': 4.5454545, 'name': 'varuhuschef'}, {'score': 4.5454545, 'name': 'executive assistant to ceo'}, {'score': 4.5454545, 'name': 'arbetslös'}], 'stemmedJob': 'data', 'skills': [{'score': 10.186041, 'name': 'data'}, {'score': 10.341879, 'name': 'javascript'}, {'score': 8.394053, 'name': 'mysql'}, {'score': 10.365676, 'name': 'css'}, {'score': 10.717455, 'name': 'jquery'}, {'score': 9.281313, 'name': 'microsoft office'}, {'score': 10.113931, 'name': 'html'}, {'score': 8.415183, 'name': 'php'}, {'score': 9.167973, 'name': 'management'}, {'score': 13.016498, 'name': 'customer service'}], 'futureJobs': [{'score': 3.030303, 'name': 'it specialist'}, {'score': 3.030303, 'name': 'associate video editor'}, {'score': 3.030303, 'name': 'data acquisition leader'}, {'score': 6.060606, 'name': 'logistik ansvarig'}, {'score': 3.030303, 'name': 'client implementation specialist - associate'}], 'jobTitle': 'data'}",one_gram,data
6,Demand Generation Marketing Lead,200,demand generation marketings lead,"{'averageTime': 25, 'education': [{'score': 10.0, 'name': 'communication and media studies, 3.6 gpa'}, {'score': 10.0, 'name': 'management information systems, general'}, {'score': 10.0, 'name': 'business/managerial economics'}, {'score': 10.0, 'name': 'communications'}, {'score': 10.0, 'name': 'politics (focus: political economics), rhetoric (focus: rhetorical criticism)'}], 'previousJobs': [{'score': 8.333333, 'name': 'manager, life sciences spaceflight projects'}, {'score': 8.333333, 'name': 'research analyst'}, {'score': 8.333333, 'name': 'sr. business account executive'}, {'score': 8.333333, 'name': 'brand ambassador program'}, {'score': 8.333333, 'name': 'partner account executive'}], 'stemmedJob': 'demand generat', 'skills': [{'score': 20.481724, 'name': 'new business development'}, {'score': 7.4629173, 'name': 'social media'}, {'score': 11.148661, 'name': 'demand generation'}, {'score': 7.491029, 'name': 'marketing'}, {'score': 9.558082, 'name': 'account management'}, {'score': 11.161986, 'name': 'sales'}, {'score': 10.239654, 'name': 'lead generation'}, {'score': 6.10905, 'name': 'salesforce.com'}, {'score': 7.321957, 'name': 'customer service'}, {'score': 9.0249405, 'name': 'management'}], 'futureJobs': [{'score': 12.5, 'name': 'online marketing manager'}, {'score': 12.5, 'name': 'sales and marketing executive'}, {'score': 12.5, 'name': 'site communicator'}, {'score': 12.5, 'name': 'area sales manager'}, {'score': 12.5, 'name': 'sr marketing manager'}], 'jobTitle': 'demand generation'}",two_gram,demand generation
7,Research Assistant at University,200,research assistant at university,"{'averageTime': 19, 'education': [{'score': 8.125786, 'name': 'computer science'}, {'score': 8.754717, 'name': 'psychology'}, {'score': 4.045283, 'name': 'mechanical engineering'}, {'score': 3.6377358, 'name': 'chemistry'}, {'score': 7.3207545, 'name': 'economics'}], 'previousJobs': [{'score': 2.940984, 'name': 'teaching assistant'}, {'score': 1.0010469, 'name': 'trainee'}, {'score': 1.027218, 'name': 'student assistant'}, {'score': 3.438236, 'name': 'intern'}, {'score': 1.0730175, 'name': 'phd student'}], 'stemmedJob': 'research assist', 'skills': [{'score': 20.868435, 'name': 'research'}, {'score': 10.136594, 'name': 'data analysis'}, {'score': 6.7568855, 'name': 'science'}, {'score': 6.9743834, 'name': 'microsoft word'}, {'score': 7.526326, 'name': 'powerpoint'}, {'score': 7.278826, 'name': 'public speaking'}, {'score': 9.246363, 'name': 'microsoft excel'}, {'score': 14.279623, 'name': 'microsoft office'}, {'score': 7.6170635, 'name': 'statistics'}, {'score': 9.3155, 'name': 'matlab'}], 'futureJobs': [{'score': 1.8412255, 'name': 'researcher'}, {'score': 3.812185, 'name': 'phd student'}, {'score': 2.1181579, 'name': 'intern'}, {'score': 1.2524325, 'name': 'research associate'}, {'score': 2.3377078, 'name': 'teaching assistant'}], 'jobTitle': 'research assistant at'}",three_gram,research assistant at
8,Economics (quantitative),200,economics ,"{'averageTime': 51, 'education': [{'score': 2.7027028, 'name': 'statskundskab, bachelor'}, {'score': 2.7027028, 'name': 'nationalekonomi'}, {'score': 5.4054055, 'name': 'marketing'}, {'score': 21.621622, 'name': 'economics'}, {'score': 2.7027028, 'name': 'organizational innovation and entrepreneurship'}], 'previousJobs': [{'score': 2.7027028, 'name': 'order clerk'}, {'score': 5.4054055, 'name': 'marketing'}, {'score': 2.7027028, 'name': 'purchaser'}, {'score': 5.4054055, 'name': 'löne administratör'}, {'score': 2.7027028, 'name': 'logistics and supply chain'}], 'stemmedJob': 'econom', 'skills': [{'score': 6.841396, 'name': 'finance'}, {'score': 8.135087, 'name': 'team leadership'}, {'score': 6.550844, 'name': 'microsoft word'}, {'score': 12.750785, 'name': 'customer service'}, {'score': 9.776494, 'name': 'business strategy'}, {'score': 14.319662, 'name': 'microsoft office'}, {'score': 6.6766734, 'name': 'public relations'}, {'score': 11.304951, 'name': 'microsoft excel'}, {'score': 14.214246, 'name': 'economics'}, {'score': 9.429862, 'name': 'management'}], 'futureJobs': [{'score': 3.5714285, 'name': 'marketing manager'}, {'score': 3.5714285, 'name': 'owner'}, {'score': 1.7857143, 'name': 'service manager and configuration manager'}, {'score': 3.5714285, 'name': 'controller'}, {'score': 5.357143, 'name': 'sales'}], 'jobTitle': 'economics '}",,
9,Behavioral Economics,200,behavioral economics,"{'averageTime': 51, 'education': [{'score': 2.7027028, 'name': 'statskundskab, bachelor'}, {'score': 2.7027028, 'name': 'nationalekonomi'}, {'score': 5.4054055, 'name': 'marketing'}, {'score': 21.621622, 'name': 'economics'}, {'score': 2.7027028, 'name': 'organizational innovation and entrepreneurship'}], 'previousJobs': [{'score': 2.7027028, 'name': 'order clerk'}, {'score': 5.4054055, 'name': 'marketing'}, {'score': 2.7027028, 'name': 'purchaser'}, {'score': 5.4054055, 'name': 'löne administratör'}, {'score': 2.7027028, 'name': 'logistics and supply chain'}], 'stemmedJob': 'econom', 'skills': [{'score': 6.841396, 'name': 'finance'}, {'score': 8.135087, 'name': 'team leadership'}, {'score': 6.550844, 'name': 'microsoft word'}, {'score': 12.750785, 'name': 'customer service'}, {'score': 9.776494, 'name': 'business strategy'}, {'score': 14.319662, 'name': 'microsoft office'}, {'score': 6.6766734, 'name': 'public relations'}, {'score': 11.304951, 'name': 'microsoft excel'}, {'score': 14.214246, 'name': 'economics'}, {'score': 9.429862, 'name': 'management'}], 'futureJobs': [{'score': 3.5714285, 'name': 'marketing manager'}, {'score': 3.5714285, 'name': 'owner'}, {'score': 1.7857143, 'name': 'service manager and configuration manager'}, {'score': 3.5714285, 'name': 'controller'}, {'score': 5.357143, 'name': 'sales'}], 'jobTitle': 'economics'}",one_gram,economics
