,word,suggest_word,score
0,emea,emea,200
1,dba,ddoing business as,200
2,crm,crm,200
3,ui,user interface,200
4,online,online,200
5,3d,3d,200
6,programme,programmer,200
7,ndash,dash,200
8,rampd,ram pd,200
9,cofounder,co-founder,200
10,ux,user experience,200
11,hse,health and safety executive,200
12,admin,administration,200
13,subsea,subsea,200
14,presales,presales,200
15,cto,chief technology officer ,200
16,presales,resales,200
17,sql,sql,200
18,ios,ios,200
19,de,de,200
20,snr,senior,200
21,php,php,200
22,vfx,vfx,200
23,sharepoint,sharepoint,200
24,apac,apace,200
25,qa,quality assurance,200
26,frontend,front end,200
27,telecom,telecoms,200
28,bw,bw,200
29,salesforce,salesforce,200
30,abap,advanced business application programming,200
31,centre,center,200
32,fx,fx,200
33,sas,ass,200
34,cisco,cisco,200
35,erp,enterprise resource planning ,200
36,cofounder,cofounder,200
37,webmaster,web master,200
38,frontend,fronted,200
39,helpdesk,help desk,200
40,fico,foci,200
41,sme,small and medium-sized enterprises,200
42,salesforcecom,salesroom,200
43,ip,ip,200
44,pre,pre,200
45,avp,avp,200
46,j2ee,j2ee,200
47,svp,sip,200
48,programmeranalyst,programmer analyst,200
49,pmo,pm,200
50,csv,csv,200
51,citrix,citrix,200
52,iphone,iphone,200
53,etl,"extract, transform and load",200
54,uiux,user interface,200
55,ict,information and communication technology,200
56,ecommerce,ecommerce,200
57,qaqc,quality assurance,200
58,healthcare,health care,200
59,sharepoint,sharepoint,200
60,3d,3d,200
61,fi,phi,200
62,virtualization,visualization,200
63,backend,backed,200
64,apps,application,200
65,app,application,200
66,mysql,mysql,200
67,ui,user interface,200
68,soa,soa,200
69,onsite,onside,200
70,noc,con,200
71,sdet,set,200
72,gameplay,game play,200
73,2d,2d,200
74,isu,isu,200
75,sw,sw,200
76,ux,user experience,200
77,smb,smb,200
78,middleware,middle ware,200
79,scm,scm,200
80,sqa,quality assurance,200
81,seo,search engine optimization,200
82,cio,chief information officer,200
83,ndt,ndt,200
84,siebel,siebel,200
85,dba,dba,200
86,responsable,responsible,200
87,geoscientist,geo scientist,200
88,designerdeveloper,designer developer,200
89,gmp,gmp,200
90,rampd,ram pd,200
91,qp,quality control,200
92,cmc,cmc,200
93,vfx,vfx,200
94,hris,human resource information system,200
95,workover,workover,200
96,sde,sde,200
97,enginner,engineer,200
98,vmware,vmware,200
99,peoplesoft,people soft,200
100,programmeranalyst,programmer analyst,200
101,financials,financial,200
102,ecommerce,ecommerce,200
103,asic,asic,200
104,mdm,mobile device management,200
105,obiee,oracle business intelligence enterprise edition 11g ,200
106,ingeacutenieur,nonthreatening,200
107,gynaecologist,gynecologist,200
108,teamleader,team leader,200
109,dsp,digital signal processor ,200
110,nde,node,200
111,epm,wpm,200
112,sem,chem,200
113,api,Application program interface ,200
114,fsi,ifs,200
115,enablement,ennoblement,200
116,websphere,web sphere,200
117,r3,r,200
118,cis,cis,200
119,essbase,baseness,200
120,enterpriseone,enterprise one,200
121,datawarehouse,data warehouse,200
122,anz,anz,200
123,hadoop,hadoop,200
124,plm,management,200
125,ai,Artificial intelligence,200
126,designerdeveloper,designer developer,200
127,sql,sql,200
128,cyber,cuber,200
129,vp,vp,200
130,asean,asean,200
131,ecommerce,commerce,200
132,devops,devops,200
133,parttime,part time,200
134,ebusiness,e business,200
135,apj,apj,200
136,fx,f,200
137,sysadmin,system administrator,200
138,ebusiness,e business,200
139,accenture,accentuate,200
140,mgmt,management,200
141,wellsite,well site,200
142,bpc,bps,200
143,voip,voip,200
144,leadsenior,lead senior,200
145,aut,aut,200
146,localisation,localization,200
147,clas,clad,200
148,episerver,preserver,200
149,avaya,ava ya,200
150,helpdesk,help desk,200
151,pharma,pharmacy,200
152,deepwater,deep water,200
153,b2b,business-to-business,200
154,netsuite,net suite,200
155,engineerproject,engineer project,200
156,cdm,cm,200
157,committer,committee,200
158,srsoftware,senior software,200
159,managerbusiness,manager business,200
160,hcm,hcm,200
161,exective,executive,200
162,bt,bt,200
163,ic,ic,200
164,cto,chief technology officer,200
165,cms,Content Management Systems,200
166,pmp,ppm,200
167,bpm,pm,200
168,pscm,scamp,200
169,hseq,hseq,200
170,bdm,bdrm,200
171,pci,pi,200
172,tivoli,volition,200
173,vicepresident,vice president,200
174,im,mi,200
175,ipt,ipt,200
176,managment,management,200
177,ehs,"Health, Safety and Environment",200
178,virtualisation,visualization,200
179,fpso,fps,86
180,developeranalyst,developer analyst,200
181,uki,suki,86
182,wintel,lintel,83
183,dcs,cs,80
184,documentum,document um,200
185,geoscience,geo science,200
186,gts,gt,80
187,grc,gr,80
188,gl,lg,50
189,tesco,telescope,71
190,workflow,work flow,94
191,datacenter,data center,200
192,uc,cu,50
193,ceo,chief executive officer,200
194,emea,ema,86
195,lims,mils,50
196,solaris,polaris,86
197,eampp,preamp,55
198,petrophysicist,astrophysicist,86
199,asiapacific,asia pacific,200
200,itil,isl,57
201,analystdeveloper,analyst developer,200
202,intranet,intra net,94
203,jde,jade,86
204,xbox,box,57
205,teacutecnico,telecommunicate,52
206,telco,tel co,91
207,optimisation,optimization,92
208,gynaecology,gynecology,200
209,analystprogrammer,analyst programmer,200
210,gis,guys,57
211,hw,he,50
212,base24,base,80
213,speciality,specialty,200
214,managersenior,manager senior,200
215,youtube,you tube,93
216,engg,eng,86
217,analystproject,analyst project,200
218,signalling,signaling,200
219,sourcer,courser,71
220,adminstrator,administrator,200
221,locum,slocum,73
222,cognos,cog nos,92
223,itsm,its,86
224,datapower,data power,200
225,ccie,boccie,80
226,unixlinux,unix linux,200
227,ee,i,0
228,aspnet,asp net,92
229,managerproject,manager project,200
230,qhse,hesse,67
231,dach,date,50
232,ing,inf,67
233,architectdeveloper,architect developer,200
234,buyside,buy side,93
235,cee,cede,86
236,ecampi,scampi,50
237,uk,uk,50
238,pdms,pd ms,89
239,msn,man,67
240,pmc,pm,80
241,asic,sic,57
242,ecm,em,80
243,developerarchitect,developer architect,200
244,websphere,web sphere,200
245,bpo,bop,67
246,adwords,ad words,93
247,engineerarchitect,engineer architect,200
248,bioinformatics,informatics,80
249,hsse,shes,50
250,netweaver,net weaver,200
251,qara,para,75
252,geotechnical,geo technical,200
253,fpampa,pampas,67
254,qs,sq,50
255,netweaver,net weaver,200
256,dw,d,67
257,developper,developer,200
258,assassin039s,assassinates,75
259,qc,qc,50
260,postgresql,postgraduate,64
261,sfdc,afdc,75
262,salesforce,sales force,200
263,admin,admen,80
264,inhouse,in house,93
265,videographer,radiographer,75
266,devops,dev ops,92
267,analist,analise,86
268,coowner,co owner,93
269,evp,eve,67
270,coordinator,coordinator,91
271,drupal,dru pal,92
272,ukampi,scampi,50
273,netsuite,net suite,94
274,sr,senior,200
275,javaj2ee,javaj2ee,200
276,engineerteam,engineer team,200
277,consultantsenior,consultant senior,200
278,engineersoftware,engineer software,200
279,programmes,programmer,200
280,dsp,esp,67
281,murex,lurex,80
282,inhouse,in house,93
283,engineersenior,engineer senior,200
284,sox,six,67
285,mea,mes,67
286,mgt,mgr,67
287,brm,rm,80
288,srm,senior manager,200
289,wipro,prow,44
290,parttime,part time,94
291,bfsi,briefs,60
292,cpg,cog,67
293,atg,tag,67
294,ae,eye,40
295,networksystems,network systems,200
296,visualinteraction,visual interaction,200
297,tac,cat,33
298,assitant,assistant,94
299,nhs,nos,67
300,isv,is,80
301,sistemas,assisted,50
302,multiplayer,multilayer,200
303,wireline,wire line,94
304,systemnetwork,system network,200
305,engr,eng,86
306,ebs,bes,67
307,engineerconsultant,engineer consultant,200
308,db2,db,80
309,architecttechnical,architect technical,200
310,architectengineer,architect engineer,200
311,managersales,manager sales,200
312,phpmysql,physical,25
313,consultantbusiness,consultant business,200
314,scripter,scripted,88
315,javascript,javascript,200
316,administratordeveloper,administrator developer,200
317,consultantproject,consultant project,200
318,campi,cam pi,55
319,managerlead,manager lead,200
320,telesales,telltales,78
321,benelux,benelux,71
322,assistent,assistant,89
323,directeur,directer,94
324,defence,de fence,93
325,qualiteacute,qualitative,78
326,backendfrontend,frontenac,58
327,hpc,hoc,67
328,coop,coop,75
329,ipad,ipad,200
330,praktikant,prakrit,71
331,msc,ms,80
332,ip,io,50
333,directordesigner,director designer,200
